date;Iceland;Australian film;Sydney film festival 2021;Australian books;air travel;isPartial
2022-01-01;100;1;0;0;1;False
2022-01-02;92;0;0;0;3;False
2022-01-03;89;0;0;0;3;False
2022-01-04;87;0;0;0;4;False
2022-01-05;77;0;0;0;4;False
2022-01-06;76;0;0;0;3;False
2022-01-07;79;0;0;0;3;False
2022-01-08;87;0;0;0;3;False
2022-01-09;78;1;0;0;3;False
2022-01-10;70;1;0;0;4;False
2022-01-11;71;1;0;0;3;False
2022-01-12;70;0;0;0;3;False
2022-01-13;78;1;0;0;4;False
2022-01-14;66;0;0;0;4;False
2022-01-15;77;1;0;0;3;False
2022-01-16;82;1;0;0;4;False
2022-01-17;66;1;0;0;2;False
2022-01-18;63;0;0;0;3;False
2022-01-19;67;1;0;0;3;False
2022-01-20;66;1;0;0;2;False
2022-01-21;72;0;0;0;2;False
2022-01-22;79;1;0;0;3;False
2022-01-23;73;1;0;0;3;False
2022-01-24;73;1;0;1;4;False
2022-01-25;64;0;0;0;2;False
2022-01-26;67;0;0;0;3;False
2022-01-27;65;1;0;0;3;False
2022-01-28;70;0;0;0;2;False
2022-01-29;77;1;0;0;3;False
2022-01-30;76;0;0;1;4;False
2022-01-31;71;0;0;0;4;False
