date;Eurozone;Eden Project;Lancashire;Science fiction and fantasy films;air travel;isPartial
2022-01-01;0;9;71;0;5;False
2022-01-02;0;8;75;0;9;False
2022-01-03;2;9;69;0;8;False
2022-01-04;0;6;99;0;7;False
2022-01-05;0;6;78;0;12;False
2022-01-06;2;8;80;0;10;False
2022-01-07;3;9;82;0;9;False
2022-01-08;0;10;94;0;9;False
2022-01-09;0;12;74;0;6;False
2022-01-10;2;8;88;0;15;False
2022-01-11;1;8;93;0;10;False
2022-01-12;1;13;84;0;10;False
2022-01-13;3;10;84;0;12;False
2022-01-14;0;6;80;0;11;False
2022-01-15;2;10;78;0;11;False
2022-01-16;0;13;83;0;12;False
2022-01-17;0;10;86;0;7;False
2022-01-18;0;8;81;0;10;False
2022-01-19;1;7;89;0;11;False
2022-01-20;1;9;76;0;7;False
2022-01-21;0;8;75;0;5;False
2022-01-22;1;9;71;0;8;False
2022-01-23;0;10;79;0;10;False
2022-01-24;1;8;100;0;12;False
2022-01-25;1;7;85;0;7;False
2022-01-26;0;8;77;0;9;False
2022-01-27;1;11;76;0;8;False
2022-01-28;1;5;80;0;7;False
2022-01-29;1;11;78;0;9;False
2022-01-30;0;8;74;0;11;False
2022-01-31;0;14;90;0;13;False
