date;metropolitan police service;tom warburton photography;newcastle city council;sue gray;air travel;isPartial
2022-01-01;0;0;0;0;1;False
2022-01-02;0;0;0;0;2;False
2022-01-03;0;0;0;0;2;False
2022-01-04;0;0;1;0;1;False
2022-01-05;0;0;1;0;3;False
2022-01-06;0;0;0;0;2;False
2022-01-07;0;0;0;0;2;False
2022-01-08;0;0;0;0;2;False
2022-01-09;0;0;0;0;1;False
2022-01-10;0;0;0;1;3;False
2022-01-11;0;0;0;9;2;False
2022-01-12;0;0;1;19;2;False
2022-01-13;0;0;0;18;2;False
2022-01-14;0;0;1;15;2;False
2022-01-15;0;0;0;10;2;False
2022-01-16;0;0;0;6;3;False
2022-01-17;0;0;0;4;2;False
2022-01-18;0;0;0;7;2;False
2022-01-19;0;0;1;7;2;False
2022-01-20;0;0;0;9;1;False
2022-01-21;0;0;0;5;1;False
2022-01-22;0;0;0;5;2;False
2022-01-23;0;0;0;5;2;False
2022-01-24;0;0;1;10;3;False
2022-01-25;1;0;1;12;2;False
2022-01-26;0;0;0;33;2;False
2022-01-27;0;0;0;28;2;False
2022-01-28;0;0;1;45;1;False
2022-01-29;0;0;0;19;2;False
2022-01-30;0;0;0;11;2;False
2022-01-31;0;0;1;100;3;False
