date;Charities;The Observer;Libya;Liberal Democrats;air travel;isPartial
2022-01-01;46;11;20;0;14;False
2022-01-02;56;31;20;4;34;False
2022-01-03;64;16;14;0;22;False
2022-01-04;79;4;18;12;26;False
2022-01-05;81;7;15;3;39;False
2022-01-06;78;3;17;0;30;False
2022-01-07;83;7;8;10;36;False
2022-01-08;41;3;16;0;32;False
2022-01-09;52;36;12;0;25;False
2022-01-10;88;5;13;6;42;False
2022-01-11;77;10;17;7;33;False
2022-01-12;100;7;14;11;36;False
2022-01-13;88;7;22;7;42;False
2022-01-14;79;4;11;11;40;False
2022-01-15;51;14;8;0;37;False
2022-01-16;51;42;15;6;39;False
2022-01-17;87;7;25;2;27;False
2022-01-18;90;13;17;0;33;False
2022-01-19;84;9;13;4;35;False
2022-01-20;85;6;14;0;20;False
2022-01-21;74;6;11;4;19;False
2022-01-22;54;8;11;10;27;False
2022-01-23;63;33;13;7;34;False
2022-01-24;98;12;18;9;37;False
2022-01-25;82;9;12;7;26;False
2022-01-26;85;10;9;8;33;False
2022-01-27;90;6;13;0;28;False
2022-01-28;79;12;16;0;26;False
2022-01-29;44;7;9;3;20;False
2022-01-30;51;36;12;9;36;False
2022-01-31;84;5;18;8;40;False
