date;Scottish politics;Child protection;Violence against women and girls;European Tour;air travel;isPartial
2022-01-01;0;5;0;3;11;False
2022-01-02;0;7;0;5;26;False
2022-01-03;0;15;0;7;17;False
2022-01-04;2;17;0;8;20;False
2022-01-05;3;19;0;3;31;False
2022-01-06;0;13;3;6;23;False
2022-01-07;2;16;1;7;28;False
2022-01-08;0;10;0;6;24;False
2022-01-09;0;9;0;6;19;False
2022-01-10;3;24;0;9;33;False
2022-01-11;0;23;0;5;25;False
2022-01-12;0;12;5;6;28;False
2022-01-13;0;20;2;6;32;False
2022-01-14;0;22;2;8;31;False
2022-01-15;0;14;0;9;29;False
2022-01-16;0;12;0;7;30;False
2022-01-17;0;17;0;15;21;False
2022-01-18;4;19;0;12;25;False
2022-01-19;0;20;0;17;27;False
2022-01-20;3;18;3;62;15;False
2022-01-21;2;22;0;67;14;False
2022-01-22;0;11;0;71;21;False
2022-01-23;2;10;0;70;26;False
2022-01-24;0;27;2;20;29;False
2022-01-25;0;22;0;10;20;False
2022-01-26;0;20;0;14;25;False
2022-01-27;0;18;0;58;22;False
2022-01-28;6;14;3;69;20;False
2022-01-29;0;11;0;74;15;False
2022-01-30;2;9;3;100;28;False
2022-01-31;0;20;2;14;31;False
