date;Birmingham City;Mining;Autobiography and memoir;Thom Yorke;air travel;isPartial
2022-01-01;43;37;0;1;5;False
2022-01-02;74;43;0;0;10;False
2022-01-03;47;41;0;0;10;False
2022-01-04;54;65;0;3;13;False
2022-01-05;47;59;0;2;13;False
2022-01-06;60;56;0;3;12;False
2022-01-07;54;52;0;3;13;False
2022-01-08;100;49;0;2;11;False
2022-01-09;62;50;0;3;10;False
2022-01-10;59;58;0;3;16;False
2022-01-11;50;60;0;1;12;False
2022-01-12;44;49;0;1;13;False
2022-01-13;60;65;0;8;15;False
2022-01-14;50;48;0;1;13;False
2022-01-15;69;41;0;2;12;False
2022-01-16;52;45;0;1;14;False
2022-01-17;52;50;0;2;7;False
2022-01-18;69;54;0;2;11;False
2022-01-19;51;48;0;4;11;False
2022-01-20;57;54;0;0;8;False
2022-01-21;59;52;0;2;7;False
2022-01-22;89;43;0;3;11;False
2022-01-23;56;52;0;1;12;False
2022-01-24;69;67;0;2;16;False
2022-01-25;84;50;0;4;9;False
2022-01-26;58;56;0;2;12;False
2022-01-27;60;58;0;2;10;False
2022-01-28;50;50;0;4;9;False
2022-01-29;63;41;0;5;10;False
2022-01-30;95;38;0;6;14;False
2022-01-31;73;55;0;3;14;False
