date;cameroon;yaoundé;taylor swift;archaeology;air travel;isPartial
2022-01-01;7;0;51;5;5;False
2022-01-02;10;0;49;5;10;False
2022-01-03;9;0;42;5;8;False
2022-01-04;12;0;42;9;8;False
2022-01-05;10;0;38;10;13;False
2022-01-06;10;0;34;9;10;False
2022-01-07;9;1;42;12;10;False
2022-01-08;9;1;48;6;10;False
2022-01-09;74;1;44;6;6;False
2022-01-10;30;0;40;7;15;False
2022-01-11;27;0;36;16;10;False
2022-01-12;18;0;37;10;11;False
2022-01-13;47;0;39;13;13;False
2022-01-14;22;0;34;7;12;False
2022-01-15;18;0;42;4;12;False
2022-01-16;15;0;46;10;13;False
2022-01-17;29;0;33;11;8;False
2022-01-18;11;0;33;11;10;False
2022-01-19;9;1;32;9;11;False
2022-01-20;18;1;37;8;7;False
2022-01-21;9;1;41;8;6;False
2022-01-22;11;0;47;4;8;False
2022-01-23;15;0;42;9;10;False
2022-01-24;100;0;58;8;13;False
2022-01-25;43;0;93;5;8;False
2022-01-26;22;0;52;7;10;False
2022-01-27;11;1;38;7;9;False
2022-01-28;10;0;56;5;7;False
2022-01-29;77;0;48;5;9;False
2022-01-30;36;0;44;6;11;False
2022-01-31;10;0;37;6;14;False
