date;The Guardian;Samoa;Kiribati;Palau;air travel;isPartial
2022-01-01;96;5;2;0;3;False
2022-01-02;88;1;1;2;6;False
2022-01-03;82;1;1;0;6;False
2022-01-04;100;2;1;1;8;False
2022-01-05;95;1;1;2;8;False
2022-01-06;82;1;1;2;7;False
2022-01-07;88;7;0;1;8;False
2022-01-08;75;2;2;0;6;False
2022-01-09;78;3;1;0;6;False
2022-01-10;87;2;2;1;9;False
2022-01-11;91;2;0;1;7;False
2022-01-12;88;1;1;1;7;False
2022-01-13;99;2;2;1;9;False
2022-01-14;96;1;1;0;8;False
2022-01-15;82;4;0;0;7;False
2022-01-16;87;4;2;1;8;False
2022-01-17;85;1;0;1;4;False
2022-01-18;81;4;1;1;6;False
2022-01-19;84;2;0;1;7;False
2022-01-20;85;2;0;2;5;False
2022-01-21;78;2;4;1;4;False
2022-01-22;76;3;48;1;6;False
2022-01-23;73;2;4;0;7;False
2022-01-24;94;1;1;2;10;False
2022-01-25;88;1;1;2;5;False
2022-01-26;92;2;1;1;7;False
2022-01-27;84;2;1;0;6;False
2022-01-28;84;1;1;2;5;False
2022-01-29;81;1;1;1;6;False
2022-01-30;84;2;1;2;8;False
2022-01-31;99;2;0;0;8;False
