date;Gray report;Metropolitan police;NHS;Sajid Javid;air travel;isPartial
2022-01-01;0;0;53;0;0;False
2022-01-02;0;0;60;0;0;False
2022-01-03;0;0;73;0;0;False
2022-01-04;0;0;92;0;0;False
2022-01-05;0;0;100;0;1;False
2022-01-06;0;0;80;0;0;False
2022-01-07;0;0;72;1;0;False
2022-01-08;0;0;56;4;0;False
2022-01-09;0;0;64;1;0;False
2022-01-10;0;0;87;0;1;False
2022-01-11;0;0;71;0;0;False
2022-01-12;0;0;70;0;0;False
2022-01-13;0;0;76;0;1;False
2022-01-14;0;0;64;0;1;False
2022-01-15;0;0;50;0;1;False
2022-01-16;0;0;57;0;1;False
2022-01-17;0;0;70;0;0;False
2022-01-18;0;0;67;0;0;False
2022-01-19;0;0;68;1;1;False
2022-01-20;0;0;64;0;0;False
2022-01-21;0;0;63;0;0;False
2022-01-22;0;0;55;0;0;False
2022-01-23;0;0;53;0;0;False
2022-01-24;1;0;81;0;1;False
2022-01-25;1;0;73;0;0;False
2022-01-26;4;0;70;0;0;False
2022-01-27;4;0;65;0;0;False
2022-01-28;7;0;64;0;0;False
2022-01-29;2;0;46;0;0;False
2022-01-30;1;0;51;0;1;False
2022-01-31;17;0;97;1;1;False
