date;meta;nfts;semiconductors;astronomy;air travel;isPartial
2022-01-01;59;33;2;11;10;False
2022-01-02;55;56;0;12;20;False
2022-01-03;67;57;1;12;16;False
2022-01-04;69;56;5;18;15;False
2022-01-05;100;54;0;12;25;False
2022-01-06;79;69;2;13;20;False
2022-01-07;81;54;4;13;19;False
2022-01-08;70;53;0;10;19;False
2022-01-09;62;57;0;17;11;False
2022-01-10;71;55;3;17;30;False
2022-01-11;70;52;3;12;20;False
2022-01-12;77;48;0;15;21;False
2022-01-13;68;53;2;10;24;False
2022-01-14;63;52;0;11;23;False
2022-01-15;66;48;0;13;23;False
2022-01-16;63;49;3;24;25;False
2022-01-17;63;53;3;17;15;False
2022-01-18;68;50;4;14;20;False
2022-01-19;61;58;1;12;22;False
2022-01-20;56;64;3;8;14;False
2022-01-21;77;88;3;12;11;False
2022-01-22;69;66;2;18;16;False
2022-01-23;66;67;4;14;20;False
2022-01-24;89;64;4;9;26;False
2022-01-25;76;71;0;11;15;False
2022-01-26;84;64;2;16;20;False
2022-01-27;73;58;2;13;17;False
2022-01-28;64;57;5;15;14;False
2022-01-29;65;61;4;14;18;False
2022-01-30;68;50;1;35;22;False
2022-01-31;65;60;3;70;27;False
