date;Rail transport;Scotland;North of England;Transport;air travel;isPartial
2022-01-01;0;63;0;5;0;False
2022-01-02;0;73;0;6;1;False
2022-01-03;0;89;0;6;1;False
2022-01-04;0;86;1;8;1;False
2022-01-05;0;100;0;8;1;False
2022-01-06;0;79;0;8;1;False
2022-01-07;0;75;0;8;1;False
2022-01-08;0;65;0;6;1;False
2022-01-09;0;71;0;7;0;False
2022-01-10;0;85;1;10;1;False
2022-01-11;0;81;0;9;1;False
2022-01-12;0;75;1;9;1;False
2022-01-13;0;77;0;10;1;False
2022-01-14;0;69;0;8;1;False
2022-01-15;0;61;0;6;1;False
2022-01-16;0;73;0;7;1;False
2022-01-17;0;77;0;10;1;False
2022-01-18;0;79;0;8;1;False
2022-01-19;0;62;0;9;1;False
2022-01-20;0;65;0;9;1;False
2022-01-21;0;72;0;9;0;False
2022-01-22;0;67;0;7;1;False
2022-01-23;0;62;1;7;1;False
2022-01-24;0;85;0;13;1;False
2022-01-25;0;73;0;9;1;False
2022-01-26;0;70;0;9;1;False
2022-01-27;0;64;0;9;1;False
2022-01-28;0;67;0;9;1;False
2022-01-29;0;71;0;7;1;False
2022-01-30;0;66;1;7;1;False
2022-01-31;0;77;0;10;1;False
