date;US taxation;Restaurants;Sheffield;Protest;air travel;isPartial
2022-01-01;0;68;55;2;1;False
2022-01-02;0;72;61;2;1;False
2022-01-03;0;66;55;2;1;False
2022-01-04;0;57;62;2;2;False
2022-01-05;0;55;62;2;2;False
2022-01-06;0;54;60;2;2;False
2022-01-07;0;59;64;2;2;False
2022-01-08;0;85;59;2;1;False
2022-01-09;0;65;62;3;1;False
2022-01-10;0;61;58;3;2;False
2022-01-11;0;61;57;2;2;False
2022-01-12;0;60;56;2;2;False
2022-01-13;0;62;59;2;2;False
2022-01-14;0;64;62;4;2;False
2022-01-15;0;84;70;8;2;False
2022-01-16;0;76;61;4;2;False
2022-01-17;0;61;57;3;1;False
2022-01-18;0;56;61;3;1;False
2022-01-19;0;59;51;2;1;False
2022-01-20;0;57;52;3;1;False
2022-01-21;0;64;56;3;1;False
2022-01-22;0;90;71;9;1;False
2022-01-23;0;95;59;5;2;False
2022-01-24;0;75;63;4;2;False
2022-01-25;0;66;54;3;1;False
2022-01-26;0;59;56;3;2;False
2022-01-27;0;59;55;4;1;False
2022-01-28;0;68;57;4;1;False
2022-01-29;0;100;81;4;1;False
2022-01-30;0;73;57;4;2;False
2022-01-31;0;64;63;5;2;False
