date;Aberdeen;Bosnia and Herzegovina;Serbia;Aid;air travel;isPartial
2022-01-01;53;1;2;21;1;False
2022-01-02;59;0;2;25;3;False
2022-01-03;59;0;2;25;3;False
2022-01-04;67;0;3;35;3;False
2022-01-05;67;0;3;33;3;False
2022-01-06;63;0;8;31;3;False
2022-01-07;68;0;8;30;3;False
2022-01-08;60;0;5;25;3;False
2022-01-09;57;1;6;26;3;False
2022-01-10;64;0;10;35;4;False
2022-01-11;72;0;5;34;3;False
2022-01-12;66;0;4;30;3;False
2022-01-13;69;0;3;35;4;False
2022-01-14;62;1;6;30;3;False
2022-01-15;65;0;4;24;3;False
2022-01-16;68;0;10;26;3;False
2022-01-17;68;1;6;33;2;False
2022-01-18;100;0;3;36;3;False
2022-01-19;71;1;2;31;3;False
2022-01-20;64;0;3;31;2;False
2022-01-21;64;0;3;28;2;False
2022-01-22;77;0;4;25;3;False
2022-01-23;60;0;3;26;3;False
2022-01-24;77;0;3;37;4;False
2022-01-25;65;0;3;31;2;False
2022-01-26;64;0;3;32;3;False
2022-01-27;65;0;3;31;3;False
2022-01-28;65;0;2;38;2;False
2022-01-29;86;0;2;23;2;False
2022-01-30;75;0;2;25;4;False
2022-01-31;76;1;2;34;4;False
