date;Chris Mullin;Russia;Vladimir Putin;Europe;air travel;isPartial
2022-01-01;0;14;1;31;1;False
2022-01-02;0;15;0;32;2;False
2022-01-03;0;14;0;32;2;False
2022-01-04;0;14;0;36;2;False
2022-01-05;0;17;1;39;3;False
2022-01-06;0;16;0;37;2;False
2022-01-07;0;18;1;37;2;False
2022-01-08;0;16;0;35;2;False
2022-01-09;0;18;0;39;1;False
2022-01-10;0;20;1;41;3;False
2022-01-11;0;17;0;39;2;False
2022-01-12;0;19;1;38;2;False
2022-01-13;0;20;0;38;3;False
2022-01-14;0;18;1;37;2;False
2022-01-15;0;21;0;39;2;False
2022-01-16;0;21;1;40;3;False
2022-01-17;0;21;0;39;2;False
2022-01-18;0;25;0;38;2;False
2022-01-19;0;33;1;38;2;False
2022-01-20;1;42;1;37;1;False
2022-01-21;0;62;1;39;1;False
2022-01-22;0;50;1;37;2;False
2022-01-23;0;49;1;47;2;False
2022-01-24;0;100;3;57;3;False
2022-01-25;0;88;2;44;2;False
2022-01-26;0;93;2;44;2;False
2022-01-27;0;70;2;39;2;False
2022-01-28;0;68;1;38;1;False
2022-01-29;0;59;1;39;2;False
2022-01-30;0;58;2;40;2;False
2022-01-31;0;49;1;41;3;False
