date;sainsbury's;earth science;icebergs;volcanoes;air travel;isPartial
2022-01-01;100;0;0;0;0;False
2022-01-02;61;0;0;0;1;False
2022-01-03;66;0;0;1;1;False
2022-01-04;39;0;0;1;1;False
2022-01-05;36;0;0;1;1;False
2022-01-06;34;0;0;1;1;False
2022-01-07;35;0;0;1;1;False
2022-01-08;38;0;0;1;1;False
2022-01-09;44;0;0;1;0;False
2022-01-10;34;0;0;1;1;False
2022-01-11;31;0;0;1;1;False
2022-01-12;33;0;0;1;1;False
2022-01-13;34;0;0;1;1;False
2022-01-14;31;0;0;1;1;False
2022-01-15;37;0;0;1;1;False
2022-01-16;43;0;0;1;1;False
2022-01-17;31;0;0;1;1;False
2022-01-18;29;0;0;1;1;False
2022-01-19;28;0;0;1;1;False
2022-01-20;31;0;0;1;1;False
2022-01-21;31;0;0;1;0;False
2022-01-22;35;0;0;0;1;False
2022-01-23;43;0;0;1;1;False
2022-01-24;35;0;0;1;1;False
2022-01-25;33;0;0;1;1;False
2022-01-26;43;0;0;1;1;False
2022-01-27;30;0;0;1;1;False
2022-01-28;33;0;0;1;1;False
2022-01-29;34;0;0;0;1;False
2022-01-30;38;0;0;1;1;False
2022-01-31;33;0;0;1;1;False
