date;Indigenous Australians;Australian citizenship;Channel 4;Television industry;air travel;isPartial
2022-01-01;0;0;72;0;4;False
2022-01-02;1;0;73;1;8;False
2022-01-03;0;0;66;1;7;False
2022-01-04;0;1;74;0;6;False
2022-01-05;0;1;65;2;10;False
2022-01-06;0;0;100;0;8;False
2022-01-07;1;0;89;0;8;False
2022-01-08;0;0;81;0;8;False
2022-01-09;0;0;86;0;5;False
2022-01-10;0;0;71;0;13;False
2022-01-11;0;0;66;0;9;False
2022-01-12;0;2;64;1;9;False
2022-01-13;0;1;63;0;10;False
2022-01-14;0;0;57;2;10;False
2022-01-15;0;1;69;0;10;False
2022-01-16;0;2;64;0;11;False
2022-01-17;1;0;59;0;6;False
2022-01-18;0;0;56;0;8;False
2022-01-19;0;0;46;1;9;False
2022-01-20;2;0;53;0;6;False
2022-01-21;0;0;55;1;5;False
2022-01-22;2;0;64;0;7;False
2022-01-23;0;0;62;0;8;False
2022-01-24;1;0;66;0;11;False
2022-01-25;0;0;52;0;6;False
2022-01-26;0;0;58;0;8;False
2022-01-27;2;0;58;1;7;False
2022-01-28;0;0;60;1;6;False
2022-01-29;1;0;64;0;8;False
2022-01-30;0;0;77;0;9;False
2022-01-31;0;1;75;0;11;False
