date;Christianity;Social networking;Wine;Pornography;air travel;isPartial
2022-01-01;2;0;84;2;1;False
2022-01-02;3;0;84;2;2;False
2022-01-03;3;0;82;2;2;False
2022-01-04;2;0;69;3;3;False
2022-01-05;2;1;72;2;3;False
2022-01-06;4;0;65;1;2;False
2022-01-07;4;0;79;2;2;False
2022-01-08;2;0;91;2;3;False
2022-01-09;5;0;85;2;2;False
2022-01-10;4;0;70;1;3;False
2022-01-11;5;0;72;2;3;False
2022-01-12;3;0;70;1;3;False
2022-01-13;3;0;77;1;3;False
2022-01-14;4;0;84;1;3;False
2022-01-15;3;0;100;2;3;False
2022-01-16;4;0;92;2;3;False
2022-01-17;4;0;70;2;2;False
2022-01-18;3;0;63;1;2;False
2022-01-19;4;0;63;0;3;False
2022-01-20;3;0;66;1;2;False
2022-01-21;3;0;75;2;2;False
2022-01-22;2;0;84;1;2;False
2022-01-23;3;0;79;2;3;False
2022-01-24;4;0;73;2;3;False
2022-01-25;3;0;65;1;2;False
2022-01-26;2;0;64;2;3;False
2022-01-27;3;0;71;1;2;False
2022-01-28;3;0;79;1;2;False
2022-01-29;2;0;85;1;2;False
2022-01-30;3;0;78;1;3;False
2022-01-31;3;0;65;2;3;False
