date;Sky Arts;World Cup 2022;Gary Shteyngart;Hull City;air travel;isPartial
2022-01-01;4;18;0;20;2;False
2022-01-02;5;15;0;9;4;False
2022-01-03;3;12;0;10;4;False
2022-01-04;2;12;1;11;5;False
2022-01-05;0;12;0;12;5;False
2022-01-06;2;11;1;10;5;False
2022-01-07;1;12;0;16;5;False
2022-01-08;2;12;0;100;4;False
2022-01-09;2;13;0;20;4;False
2022-01-10;2;13;0;13;6;False
2022-01-11;2;12;0;10;5;False
2022-01-12;2;10;0;9;5;False
2022-01-13;1;10;0;13;6;False
2022-01-14;1;13;0;9;5;False
2022-01-15;2;15;0;12;5;False
2022-01-16;2;17;1;33;5;False
2022-01-17;3;14;0;12;3;False
2022-01-18;1;12;0;12;4;False
2022-01-19;1;15;0;45;5;False
2022-01-20;2;16;0;20;3;False
2022-01-21;2;13;0;13;3;False
2022-01-22;2;17;1;26;4;False
2022-01-23;3;19;0;14;5;False
2022-01-24;3;15;0;22;7;False
2022-01-25;1;13;0;19;4;False
2022-01-26;2;15;0;17;5;False
2022-01-27;1;15;0;14;4;False
2022-01-28;3;18;0;15;4;False
2022-01-29;3;22;0;41;4;False
2022-01-30;2;21;0;20;6;False
2022-01-31;2;15;0;28;6;False
