date;West Ham United;Leeds United;Afghanistan;Nato;air travel;isPartial
2022-01-01;4;28;4;2;1;False
2022-01-02;1;77;4;2;2;False
2022-01-03;3;29;5;3;2;False
2022-01-04;2;32;5;2;2;False
2022-01-05;2;29;5;2;2;False
2022-01-06;2;24;5;2;2;False
2022-01-07;2;27;5;3;2;False
2022-01-08;3;29;3;3;2;False
2022-01-09;16;62;4;3;2;False
2022-01-10;2;24;6;5;3;False
2022-01-11;2;26;7;3;2;False
2022-01-12;3;23;6;5;2;False
2022-01-13;3;26;4;5;3;False
2022-01-14;1;25;4;4;2;False
2022-01-15;3;31;4;4;2;False
2022-01-16;26;100;4;3;3;False
2022-01-17;2;37;9;4;1;False
2022-01-18;1;26;8;5;2;False
2022-01-19;2;29;5;5;2;False
2022-01-20;2;26;6;8;1;False
2022-01-21;3;31;5;14;1;False
2022-01-22;58;79;5;11;2;False
2022-01-23;4;24;5;10;2;False
2022-01-24;2;25;6;26;3;False
2022-01-25;1;24;7;21;2;False
2022-01-26;2;26;7;22;2;False
2022-01-27;1;28;6;18;2;False
2022-01-28;1;27;6;17;2;False
2022-01-29;2;36;5;11;2;False
2022-01-30;3;33;6;15;3;False
2022-01-31;2;57;5;9;3;False
