date;long reads;ethiopia;foreign & commonwealth office;saudi arabian-led intervention in yemen;air travel;isPartial
2022-01-01;5;49;0;0;17;False
2022-01-02;0;42;0;0;34;False
2022-01-03;0;41;0;0;28;False
2022-01-04;0;31;0;0;25;False
2022-01-05;0;33;0;0;42;False
2022-01-06;6;49;0;0;34;False
2022-01-07;0;51;0;7;33;False
2022-01-08;0;44;0;0;33;False
2022-01-09;0;100;0;0;20;False
2022-01-10;0;41;2;0;52;False
2022-01-11;2;33;0;0;35;False
2022-01-12;0;47;0;0;36;False
2022-01-13;0;93;0;4;42;False
2022-01-14;0;45;3;3;40;False
2022-01-15;4;38;0;0;39;False
2022-01-16;0;36;6;0;43;False
2022-01-17;3;58;0;0;26;False
2022-01-18;2;38;0;0;34;False
2022-01-19;0;45;0;0;38;False
2022-01-20;0;26;0;0;25;False
2022-01-21;0;30;0;6;19;False
2022-01-22;0;34;0;0;28;False
2022-01-23;0;59;0;0;34;False
2022-01-24;0;46;3;4;44;False
2022-01-25;7;38;0;0;26;False
2022-01-26;0;33;0;5;34;False
2022-01-27;2;33;0;0;29;False
2022-01-28;0;28;0;0;24;False
2022-01-29;0;21;0;0;31;False
2022-01-30;0;24;0;3;39;False
2022-01-31;0;35;0;0;46;False
