date;Pubs;Sleep;Psychology;Film;air travel;isPartial
2022-01-01;20;26;4;100;0;False
2022-01-02;19;31;5;94;1;False
2022-01-03;16;30;6;76;1;False
2022-01-04;12;33;9;60;1;False
2022-01-05;12;32;9;52;1;False
2022-01-06;11;28;8;54;1;False
2022-01-07;14;26;8;66;1;False
2022-01-08;18;26;6;90;1;False
2022-01-09;18;31;8;79;0;False
2022-01-10;14;30;11;59;1;False
2022-01-11;14;29;11;53;1;False
2022-01-12;13;29;9;50;1;False
2022-01-13;14;31;9;53;1;False
2022-01-14;15;23;7;62;1;False
2022-01-15;21;27;6;91;1;False
2022-01-16;20;34;7;88;1;False
2022-01-17;14;27;10;56;1;False
2022-01-18;13;27;9;49;1;False
2022-01-19;13;24;8;52;1;False
2022-01-20;14;23;8;57;1;False
2022-01-21;16;23;8;69;0;False
2022-01-22;21;26;5;93;1;False
2022-01-23;19;25;8;91;1;False
2022-01-24;17;29;12;67;1;False
2022-01-25;14;25;10;57;1;False
2022-01-26;14;26;9;49;1;False
2022-01-27;13;23;7;53;1;False
2022-01-28;17;23;7;67;1;False
2022-01-29;22;24;5;75;1;False
2022-01-30;20;27;6;81;1;False
2022-01-31;14;25;9;55;1;False
