date;Motoring;Insurance;Tax havens;Race & religion;air travel;isPartial
2022-01-01;1;39;0;0;0;False
2022-01-02;1;45;0;0;1;False
2022-01-03;1;63;0;0;1;False
2022-01-04;1;91;0;0;1;False
2022-01-05;1;90;0;0;1;False
2022-01-06;1;81;0;0;1;False
2022-01-07;1;77;0;0;1;False
2022-01-08;1;70;0;0;1;False
2022-01-09;1;64;0;0;1;False
2022-01-10;1;83;0;0;1;False
2022-01-11;1;86;0;0;1;False
2022-01-12;1;91;0;0;1;False
2022-01-13;1;88;0;0;1;False
2022-01-14;1;83;0;0;1;False
2022-01-15;1;76;0;0;1;False
2022-01-16;1;68;0;0;1;False
2022-01-17;1;92;0;0;1;False
2022-01-18;1;87;0;0;1;False
2022-01-19;1;81;0;0;1;False
2022-01-20;1;79;0;0;1;False
2022-01-21;1;75;0;0;1;False
2022-01-22;1;68;0;0;1;False
2022-01-23;1;64;0;0;1;False
2022-01-24;2;94;0;0;1;False
2022-01-25;1;83;0;0;1;False
2022-01-26;1;86;0;0;1;False
2022-01-27;1;82;0;0;1;False
2022-01-28;1;89;0;0;1;False
2022-01-29;3;74;0;0;1;False
2022-01-30;1;77;0;0;1;False
2022-01-31;2;100;0;0;1;False
