date;Europe holidays;Cultural trips;City breaks;Beach holidays;air travel;isPartial
2022-01-01;10;0;37;48;9;False
2022-01-02;16;2;38;59;21;False
2022-01-03;22;0;43;53;14;False
2022-01-04;10;4;39;54;16;False
2022-01-05;14;0;39;54;24;False
2022-01-06;13;0;32;52;19;False
2022-01-07;15;0;34;58;22;False
2022-01-08;16;0;46;88;20;False
2022-01-09;20;0;58;99;15;False
2022-01-10;14;0;47;66;26;False
2022-01-11;16;0;40;52;20;False
2022-01-12;17;3;43;67;23;False
2022-01-13;17;0;42;61;26;False
2022-01-14;9;0;40;57;25;False
2022-01-15;17;0;51;76;23;False
2022-01-16;21;0;64;100;24;False
2022-01-17;20;0;47;73;17;False
2022-01-18;18;0;38;58;20;False
2022-01-19;17;0;42;55;22;False
2022-01-20;13;0;41;52;12;False
2022-01-21;11;0;41;46;12;False
2022-01-22;16;0;52;63;17;False
2022-01-23;21;2;64;94;21;False
2022-01-24;24;4;53;84;23;False
2022-01-25;11;3;45;64;16;False
2022-01-26;10;0;48;59;20;False
2022-01-27;9;0;42;49;18;False
2022-01-28;15;0;35;54;16;False
2022-01-29;14;0;56;84;12;False
2022-01-30;23;1;49;92;22;False
2022-01-31;18;0;47;77;25;False
