date;Vicky McClure;Adrian Lester;Julian Fellowes;Olaf Scholz;air travel;isPartial
2022-01-01;5;4;0;0;9;False
2022-01-02;11;2;0;0;17;False
2022-01-03;6;2;0;0;17;False
2022-01-04;9;0;0;2;22;False
2022-01-05;9;3;0;4;22;False
2022-01-06;12;0;0;0;20;False
2022-01-07;10;3;0;0;22;False
2022-01-08;12;2;2;0;18;False
2022-01-09;12;3;50;3;17;False
2022-01-10;9;2;3;0;26;False
2022-01-11;5;3;0;0;20;False
2022-01-12;10;3;0;0;21;False
2022-01-13;14;3;0;0;26;False
2022-01-14;10;0;3;0;22;False
2022-01-15;14;0;0;0;19;False
2022-01-16;13;3;2;0;23;False
2022-01-17;13;5;0;0;12;False
2022-01-18;25;0;4;0;18;False
2022-01-19;39;12;2;2;19;False
2022-01-20;25;1;2;0;13;False
2022-01-21;64;4;2;4;12;False
2022-01-22;76;5;3;2;18;False
2022-01-23;100;90;2;3;20;False
2022-01-24;71;43;12;2;27;False
2022-01-25;35;14;11;0;15;False
2022-01-26;28;8;16;0;20;False
2022-01-27;26;4;6;0;17;False
2022-01-28;22;6;8;0;15;False
2022-01-29;29;11;5;0;16;False
2022-01-30;67;25;7;2;24;False
2022-01-31;32;7;1;0;24;False
