date;Coalition;George Christensen;Liberal party;Labor party;air travel;isPartial
2022-01-01;17;0;11;0;33;False
2022-01-02;32;7;6;0;65;False
2022-01-03;29;0;5;0;55;False
2022-01-04;18;0;0;0;49;False
2022-01-05;20;0;7;0;82;False
2022-01-06;13;0;0;0;66;False
2022-01-07;17;0;8;0;64;False
2022-01-08;25;11;0;5;63;False
2022-01-09;18;0;12;0;38;False
2022-01-10;38;0;0;0;100;False
2022-01-11;11;0;10;5;68;False
2022-01-12;31;0;0;6;69;False
2022-01-13;31;0;21;0;81;False
2022-01-14;28;0;11;0;78;False
2022-01-15;18;9;6;0;76;False
2022-01-16;18;0;0;12;84;False
2022-01-17;18;0;15;15;50;False
2022-01-18;33;0;5;0;66;False
2022-01-19;24;0;0;0;74;False
2022-01-20;23;0;0;0;48;False
2022-01-21;21;0;0;0;37;False
2022-01-22;28;0;9;0;54;False
2022-01-23;25;0;0;0;67;False
2022-01-24;44;0;0;5;85;False
2022-01-25;40;0;12;8;50;False
2022-01-26;32;0;18;9;65;False
2022-01-27;30;0;5;0;56;False
2022-01-28;40;0;0;4;47;False
2022-01-29;21;5;14;16;60;False
2022-01-30;28;0;10;7;75;False
2022-01-31;25;0;10;0;89;False
