date;Marriage;Sex;David Attenborough;Documentary;air travel;isPartial
2022-01-01;7;93;4;10;0;False
2022-01-02;8;91;2;10;1;False
2022-01-03;9;92;6;11;1;False
2022-01-04;9;77;3;10;1;False
2022-01-05;8;74;3;9;1;False
2022-01-06;8;66;2;8;1;False
2022-01-07;8;80;2;10;1;False
2022-01-08;9;89;2;10;1;False
2022-01-09;8;92;10;11;1;False
2022-01-10;8;72;4;8;1;False
2022-01-11;9;74;3;10;1;False
2022-01-12;8;73;3;8;1;False
2022-01-13;8;76;2;8;1;False
2022-01-14;7;73;2;7;1;False
2022-01-15;8;91;2;10;1;False
2022-01-16;9;100;8;9;1;False
2022-01-17;8;68;3;8;1;False
2022-01-18;7;62;2;9;1;False
2022-01-19;7;64;2;9;1;False
2022-01-20;8;67;1;8;1;False
2022-01-21;7;69;2;8;1;False
2022-01-22;7;80;2;12;1;False
2022-01-23;9;83;7;10;1;False
2022-01-24;11;79;2;10;1;False
2022-01-25;9;69;2;9;1;False
2022-01-26;7;66;2;8;1;False
2022-01-27;8;71;2;8;1;False
2022-01-28;8;76;2;8;1;False
2022-01-29;7;92;2;9;1;False
2022-01-30;9;89;8;10;1;False
2022-01-31;8;71;2;9;1;False
