date;Freedom of speech;Silicon Valley;House of Representatives;US domestic policy;air travel;isPartial
2022-01-01;13;25;0;0;33;False
2022-01-02;12;23;12;0;80;False
2022-01-03;9;47;0;0;53;False
2022-01-04;0;93;7;0;62;False
2022-01-05;15;35;0;0;94;False
2022-01-06;0;31;0;0;72;False
2022-01-07;5;25;4;0;86;False
2022-01-08;0;27;0;0;75;False
2022-01-09;0;25;0;0;58;False
2022-01-10;0;38;0;0;100;False
2022-01-11;15;36;0;0;78;False
2022-01-12;7;0;9;0;86;False
2022-01-13;0;20;0;0;99;False
2022-01-14;0;36;6;0;95;False
2022-01-15;0;35;0;0;89;False
2022-01-16;0;11;0;0;93;False
2022-01-17;0;12;0;0;65;False
2022-01-18;0;28;6;0;78;False
2022-01-19;13;12;7;0;83;False
2022-01-20;5;22;0;0;47;False
2022-01-21;13;30;5;0;44;False
2022-01-22;25;23;0;0;64;False
2022-01-23;10;23;4;0;81;False
2022-01-24;20;28;19;0;88;False
2022-01-25;0;32;9;0;61;False
2022-01-26;5;16;0;0;78;False
2022-01-27;12;32;0;0;67;False
2022-01-28;0;28;0;0;63;False
2022-01-29;9;9;0;0;47;False
2022-01-30;8;24;0;0;86;False
2022-01-31;0;19;0;0;96;False
