date;fireworks;netherlands;antarctic;severe weather;air travel;isPartial
2022-01-01;100;5;1;0;1;False
2022-01-02;12;5;1;0;1;False
2022-01-03;6;6;1;0;1;False
2022-01-04;3;7;0;0;1;False
2022-01-05;3;6;1;0;2;False
2022-01-06;3;6;1;0;1;False
2022-01-07;2;6;1;0;1;False
2022-01-08;3;4;0;0;1;False
2022-01-09;2;5;1;0;1;False
2022-01-10;3;7;1;0;2;False
2022-01-11;2;6;1;0;1;False
2022-01-12;2;6;1;0;1;False
2022-01-13;1;6;1;0;2;False
2022-01-14;2;6;1;0;1;False
2022-01-15;3;5;0;0;1;False
2022-01-16;2;6;1;0;2;False
2022-01-17;1;7;1;0;1;False
2022-01-18;1;6;1;0;1;False
2022-01-19;1;6;1;0;1;False
2022-01-20;1;6;1;0;1;False
2022-01-21;1;6;0;0;1;False
2022-01-22;3;4;1;0;1;False
2022-01-23;2;6;1;0;1;False
2022-01-24;2;9;1;0;2;False
2022-01-25;1;10;1;0;1;False
2022-01-26;2;8;0;0;1;False
2022-01-27;1;6;1;0;1;False
2022-01-28;2;6;1;0;1;False
2022-01-29;2;5;2;0;1;False
2022-01-30;1;5;1;0;1;False
2022-01-31;4;7;0;0;2;False
