date;Democrats;Celebrity;F Scott Fitzgerald;The Rolling Stones;air travel;isPartial
2022-01-01;0;91;0;2;2;False
2022-01-02;1;100;1;6;5;False
2022-01-03;1;81;0;2;4;False
2022-01-04;2;71;0;2;3;False
2022-01-05;1;69;0;1;6;False
2022-01-06;2;62;0;1;5;False
2022-01-07;1;75;0;3;4;False
2022-01-08;1;85;0;2;4;False
2022-01-09;1;72;0;1;3;False
2022-01-10;2;68;0;2;7;False
2022-01-11;3;68;0;1;5;False
2022-01-12;2;61;0;1;5;False
2022-01-13;2;64;0;2;6;False
2022-01-14;2;63;0;5;5;False
2022-01-15;1;89;1;5;5;False
2022-01-16;1;77;1;2;6;False
2022-01-17;1;63;0;1;3;False
2022-01-18;1;63;0;2;5;False
2022-01-19;1;56;0;2;5;False
2022-01-20;2;58;0;2;3;False
2022-01-21;2;68;0;1;3;False
2022-01-22;2;86;0;1;4;False
2022-01-23;2;78;0;1;5;False
2022-01-24;1;67;1;1;6;False
2022-01-25;2;56;0;1;3;False
2022-01-26;1;57;0;2;5;False
2022-01-27;1;58;0;2;4;False
2022-01-28;1;62;0;1;3;False
2022-01-29;1;99;1;3;4;False
2022-01-30;2;96;0;3;5;False
2022-01-31;1;75;0;2;6;False
