date;Department for Education;Michelle Donelan;Moeen Ali;Derry;air travel;isPartial
2022-01-01;1;0;1;93;4;False
2022-01-02;2;2;0;80;10;False
2022-01-03;1;0;0;78;7;False
2022-01-04;1;0;0;87;8;False
2022-01-05;1;1;4;85;11;False
2022-01-06;2;1;5;75;9;False
2022-01-07;2;0;5;88;10;False
2022-01-08;1;0;0;73;9;False
2022-01-09;2;0;0;83;7;False
2022-01-10;3;0;0;80;12;False
2022-01-11;2;1;0;78;10;False
2022-01-12;2;0;1;79;11;False
2022-01-13;2;0;0;75;12;False
2022-01-14;1;0;1;80;12;False
2022-01-15;1;0;2;90;11;False
2022-01-16;0;0;1;84;11;False
2022-01-17;5;2;0;74;8;False
2022-01-18;1;0;0;73;10;False
2022-01-19;1;0;0;65;10;False
2022-01-20;3;0;1;69;6;False
2022-01-21;0;1;0;75;5;False
2022-01-22;2;5;1;76;8;False
2022-01-23;0;2;3;83;10;False
2022-01-24;2;1;2;79;11;False
2022-01-25;1;0;0;72;7;False
2022-01-26;2;0;2;73;9;False
2022-01-27;2;0;1;71;8;False
2022-01-28;1;0;0;83;8;False
2022-01-29;0;2;1;99;6;False
2022-01-30;1;0;5;100;10;False
2022-01-31;1;4;0;82;12;False
