date;electric cars;united states;uk banking;santander group;air travel;isPartial
2022-01-01;70;30;25;0;10;False
2022-01-02;63;41;33;3;20;False
2022-01-03;62;38;38;0;17;False
2022-01-04;74;42;46;3;15;False
2022-01-05;74;49;41;0;26;False
2022-01-06;100;41;47;0;21;False
2022-01-07;59;36;50;0;20;False
2022-01-08;90;32;26;1;20;False
2022-01-09;70;46;31;0;12;False
2022-01-10;67;44;54;0;31;False
2022-01-11;69;37;44;3;21;False
2022-01-12;70;35;38;2;21;False
2022-01-13;69;44;57;0;25;False
2022-01-14;57;31;42;0;24;False
2022-01-15;84;35;29;2;24;False
2022-01-16;94;34;24;3;26;False
2022-01-17;71;34;46;3;15;False
2022-01-18;77;40;45;3;21;False
2022-01-19;67;43;40;0;23;False
2022-01-20;68;34;34;2;15;False
2022-01-21;71;36;45;4;11;False
2022-01-22;87;31;26;2;17;False
2022-01-23;87;36;40;0;21;False
2022-01-24;72;54;43;0;27;False
2022-01-25;65;35;45;3;16;False
2022-01-26;83;45;35;0;20;False
2022-01-27;69;40;41;7;18;False
2022-01-28;59;39;46;2;15;False
2022-01-29;72;31;29;0;19;False
2022-01-30;66;40;35;0;23;False
2022-01-31;67;37;54;3;28;False
