date;Rihanna;A$AP Rocky;Vodafone;Telecommunications industry;air travel;isPartial
2022-01-01;5;0;20;0;1;False
2022-01-02;4;0;21;0;2;False
2022-01-03;3;0;23;0;1;False
2022-01-04;3;0;32;0;1;False
2022-01-05;3;0;32;0;2;False
2022-01-06;2;0;25;0;2;False
2022-01-07;4;0;30;0;2;False
2022-01-08;5;0;21;0;2;False
2022-01-09;4;0;22;0;1;False
2022-01-10;4;0;33;0;2;False
2022-01-11;3;0;31;0;2;False
2022-01-12;3;0;28;0;2;False
2022-01-13;3;0;27;0;2;False
2022-01-14;3;0;24;0;2;False
2022-01-15;4;0;23;0;2;False
2022-01-16;4;0;22;0;2;False
2022-01-17;4;0;27;0;1;False
2022-01-18;3;0;28;0;2;False
2022-01-19;2;0;22;0;2;False
2022-01-20;3;0;27;0;1;False
2022-01-21;3;0;26;0;1;False
2022-01-22;5;0;23;0;1;False
2022-01-23;5;0;23;0;2;False
2022-01-24;4;0;33;0;2;False
2022-01-25;3;0;31;0;1;False
2022-01-26;3;0;27;0;2;False
2022-01-27;3;0;27;0;1;False
2022-01-28;4;0;29;0;1;False
2022-01-29;4;0;23;0;1;False
2022-01-30;4;0;21;0;2;False
2022-01-31;100;1;31;0;2;False
