date;Mindfulness;Meditation;Australian universities;International students;air travel;isPartial
2022-01-01;17;82;0;9;6;False
2022-01-02;21;85;3;10;19;False
2022-01-03;29;95;0;14;17;False
2022-01-04;29;90;0;9;20;False
2022-01-05;24;84;5;15;21;False
2022-01-06;28;84;0;14;17;False
2022-01-07;28;81;0;12;19;False
2022-01-08;14;77;0;15;20;False
2022-01-09;25;100;0;14;16;False
2022-01-10;35;92;0;13;27;False
2022-01-11;28;88;0;18;20;False
2022-01-12;24;81;0;18;22;False
2022-01-13;29;90;0;19;25;False
2022-01-14;25;70;4;13;24;False
2022-01-15;22;82;0;13;19;False
2022-01-16;27;88;0;16;21;False
2022-01-17;28;82;0;16;17;False
2022-01-18;29;90;0;13;19;False
2022-01-19;27;67;0;16;22;False
2022-01-20;28;71;0;9;16;False
2022-01-21;24;68;0;13;14;False
2022-01-22;20;72;0;15;13;False
2022-01-23;20;81;0;9;23;False
2022-01-24;32;86;0;17;25;False
2022-01-25;29;72;0;19;14;False
2022-01-26;28;72;0;14;19;False
2022-01-27;34;85;3;15;17;False
2022-01-28;28;73;0;17;17;False
2022-01-29;18;65;0;12;16;False
2022-01-30;24;88;0;10;22;False
2022-01-31;31;77;0;16;24;False
