date;Larry Page;Sergey Brin;Student finance;University funding;air travel;isPartial
2022-01-01;1;0;46;3;6;False
2022-01-02;0;0;59;2;11;False
2022-01-03;0;0;70;3;10;False
2022-01-04;2;0;100;5;14;False
2022-01-05;4;0;87;0;13;False
2022-01-06;1;0;81;2;12;False
2022-01-07;0;0;73;1;13;False
2022-01-08;0;1;42;4;11;False
2022-01-09;0;2;54;0;11;False
2022-01-10;0;2;88;3;16;False
2022-01-11;1;0;72;3;12;False
2022-01-12;1;1;66;2;13;False
2022-01-13;0;0;66;2;16;False
2022-01-14;0;0;47;4;14;False
2022-01-15;0;0;42;0;12;False
2022-01-16;1;0;40;1;14;False
2022-01-17;5;3;73;3;8;False
2022-01-18;3;0;59;4;11;False
2022-01-19;0;0;60;1;11;False
2022-01-20;2;0;57;4;8;False
2022-01-21;0;1;57;1;7;False
2022-01-22;0;0;37;2;11;False
2022-01-23;0;0;40;1;12;False
2022-01-24;3;0;76;3;16;False
2022-01-25;1;0;64;4;9;False
2022-01-26;1;0;66;2;12;False
2022-01-27;2;1;60;2;10;False
2022-01-28;1;2;63;0;9;False
2022-01-29;1;0;36;3;10;False
2022-01-30;0;0;39;1;14;False
2022-01-31;1;0;71;2;15;False
