date;hubble telescope;space exploration;india;apple;air travel;isPartial
2022-01-01;0;0;28;95;0;False
2022-01-02;0;0;29;100;1;False
2022-01-03;0;0;34;100;1;False
2022-01-04;0;0;37;94;1;False
2022-01-05;0;0;35;92;1;False
2022-01-06;0;0;34;85;1;False
2022-01-07;0;0;29;86;1;False
2022-01-08;1;0;28;88;1;False
2022-01-09;0;0;29;97;1;False
2022-01-10;0;0;29;92;1;False
2022-01-11;0;0;32;81;1;False
2022-01-12;0;0;32;78;1;False
2022-01-13;0;0;38;78;1;False
2022-01-14;0;0;32;74;1;False
2022-01-15;0;0;28;86;1;False
2022-01-16;0;0;32;95;1;False
2022-01-17;0;0;26;77;1;False
2022-01-18;0;0;25;70;1;False
2022-01-19;0;0;31;68;1;False
2022-01-20;0;0;27;68;1;False
2022-01-21;0;0;34;77;1;False
2022-01-22;0;0;29;89;1;False
2022-01-23;0;0;36;86;1;False
2022-01-24;0;0;31;89;1;False
2022-01-25;0;0;27;73;1;False
2022-01-26;0;0;30;71;1;False
2022-01-27;0;0;26;68;1;False
2022-01-28;0;0;27;79;1;False
2022-01-29;0;0;31;84;1;False
2022-01-30;0;0;28;85;1;False
2022-01-31;0;0;28;72;1;False
