date;women's rights in afghanistan;women's rights;taliban;darlington;air travel;isPartial
2022-01-01;0;0;5;78;5;False
2022-01-02;0;2;5;75;10;False
2022-01-03;0;0;5;77;8;False
2022-01-04;0;0;3;76;7;False
2022-01-05;0;1;6;74;12;False
2022-01-06;0;1;6;72;10;False
2022-01-07;0;2;4;80;10;False
2022-01-08;0;0;6;89;9;False
2022-01-09;0;2;6;75;6;False
2022-01-10;0;1;5;87;15;False
2022-01-11;0;2;3;74;10;False
2022-01-12;0;0;7;75;10;False
2022-01-13;0;4;4;80;12;False
2022-01-14;0;1;5;66;12;False
2022-01-15;0;1;3;83;11;False
2022-01-16;0;1;5;82;12;False
2022-01-17;0;0;5;73;7;False
2022-01-18;0;0;6;64;10;False
2022-01-19;0;2;3;63;11;False
2022-01-20;0;1;3;72;7;False
2022-01-21;0;1;1;75;5;False
2022-01-22;0;0;5;78;8;False
2022-01-23;0;1;6;67;10;False
2022-01-24;0;0;8;86;13;False
2022-01-25;0;1;5;71;7;False
2022-01-26;0;1;7;74;10;False
2022-01-27;0;1;4;70;8;False
2022-01-28;0;1;6;88;7;False
2022-01-29;0;0;2;100;9;False
2022-01-30;0;0;4;73;11;False
2022-01-31;0;2;6;81;13;False
