date;Painting;Exhibitions;Andalucia holidays;Spain holidays;air travel;isPartial
2022-01-01;41;4;0;3;1;False
2022-01-02;47;4;0;4;3;False
2022-01-03;48;4;0;5;3;False
2022-01-04;43;4;0;4;3;False
2022-01-05;39;4;1;4;3;False
2022-01-06;37;3;0;4;3;False
2022-01-07;40;3;0;4;3;False
2022-01-08;96;5;0;6;3;False
2022-01-09;54;5;1;6;3;False
2022-01-10;41;5;0;6;4;False
2022-01-11;42;5;0;5;3;False
2022-01-12;42;4;0;6;4;False
2022-01-13;43;5;0;6;4;False
2022-01-14;37;3;0;3;4;False
2022-01-15;49;5;0;6;3;False
2022-01-16;48;5;0;8;4;False
2022-01-17;41;4;0;5;3;False
2022-01-18;37;4;0;5;3;False
2022-01-19;40;4;0;4;4;False
2022-01-20;38;4;0;6;3;False
2022-01-21;40;6;0;4;2;False
2022-01-22;100;6;0;6;2;False
2022-01-23;61;5;0;7;4;False
2022-01-24;55;8;0;6;4;False
2022-01-25;41;4;0;5;2;False
2022-01-26;42;4;0;5;3;False
2022-01-27;42;5;0;5;3;False
2022-01-28;39;6;0;4;3;False
2022-01-29;50;5;0;5;3;False
2022-01-30;48;4;0;8;4;False
2022-01-31;43;4;0;6;4;False
