date;Science and nature books;Brighton & Hove Albion;Australian foreign policy;Pacific islands;air travel;isPartial
2022-01-01;0;11;0;15;33;False
2022-01-02;0;26;0;0;80;False
2022-01-03;0;0;0;11;53;False
2022-01-04;0;17;0;0;62;False
2022-01-05;0;9;0;0;94;False
2022-01-06;0;7;0;11;72;False
2022-01-07;0;17;0;35;86;False
2022-01-08;0;15;0;31;75;False
2022-01-09;0;0;0;0;58;False
2022-01-10;0;5;0;9;100;False
2022-01-11;0;44;0;0;78;False
2022-01-12;0;0;0;23;86;False
2022-01-13;0;13;0;66;99;False
2022-01-14;0;34;0;6;95;False
2022-01-15;0;16;0;11;89;False
2022-01-16;0;12;0;39;93;False
2022-01-17;0;0;0;26;65;False
2022-01-18;0;20;0;23;78;False
2022-01-19;0;11;0;21;83;False
2022-01-20;0;6;0;51;47;False
2022-01-21;0;7;0;28;44;False
2022-01-22;0;10;0;29;64;False
2022-01-23;0;14;0;18;81;False
2022-01-24;0;0;0;10;88;False
2022-01-25;0;0;0;17;61;False
2022-01-26;0;7;0;20;78;False
2022-01-27;0;50;0;26;67;False
2022-01-28;0;0;0;19;63;False
2022-01-29;0;8;0;0;47;False
2022-01-30;0;10;0;13;86;False
2022-01-31;0;12;0;11;96;False
