date;Tom Brady;Tampa Bay Buccaneers;New England Patriots;Cameroon football team;air travel;isPartial
2022-01-01;3;1;1;0;3;False
2022-01-02;7;6;5;0;6;False
2022-01-03;7;7;2;1;4;False
2022-01-04;4;3;2;0;5;False
2022-01-05;4;0;1;0;7;False
2022-01-06;3;3;1;1;6;False
2022-01-07;3;3;1;0;7;False
2022-01-08;3;2;1;0;6;False
2022-01-09;6;4;5;1;5;False
2022-01-10;6;2;3;1;8;False
2022-01-11;3;0;0;0;6;False
2022-01-12;3;0;0;0;7;False
2022-01-13;3;1;1;1;8;False
2022-01-14;3;0;2;1;8;False
2022-01-15;3;0;1;0;7;False
2022-01-16;18;12;9;0;7;False
2022-01-17;6;4;1;0;5;False
2022-01-18;5;1;0;0;6;False
2022-01-19;4;1;0;0;7;False
2022-01-20;3;0;0;0;4;False
2022-01-21;3;1;1;1;3;False
2022-01-22;5;2;1;0;5;False
2022-01-23;23;16;1;0;6;False
2022-01-24;20;6;1;2;7;False
2022-01-25;6;1;1;1;5;False
2022-01-26;4;1;1;0;6;False
2022-01-27;3;1;2;1;5;False
2022-01-28;5;0;1;0;5;False
2022-01-29;100;2;2;2;4;False
2022-01-30;73;1;2;1;7;False
2022-01-31;17;1;0;0;8;False
