date;Bill Clinton;John McCain;Entertainment TV;The X Factor;air travel;isPartial
2022-01-01;34;0;80;16;23;False
2022-01-02;50;0;31;25;71;False
2022-01-03;34;7;51;23;64;False
2022-01-04;34;0;29;25;75;False
2022-01-05;19;11;42;31;78;False
2022-01-06;28;0;44;19;63;False
2022-01-07;18;8;29;17;71;False
2022-01-08;36;0;18;44;74;False
2022-01-09;31;0;48;12;61;False
2022-01-10;33;0;43;12;100;False
2022-01-11;29;7;24;13;75;False
2022-01-12;23;0;26;10;82;False
2022-01-13;32;0;0;22;93;False
2022-01-14;33;0;10;37;88;False
2022-01-15;21;17;33;41;72;False
2022-01-16;27;0;18;15;80;False
2022-01-17;5;0;12;0;63;False
2022-01-18;32;18;22;16;70;False
2022-01-19;31;10;27;14;82;False
2022-01-20;22;0;24;13;58;False
2022-01-21;17;0;14;0;51;False
2022-01-22;15;13;17;54;49;False
2022-01-23;22;8;27;26;87;False
2022-01-24;39;0;13;17;94;False
2022-01-25;31;9;27;23;53;False
2022-01-26;10;0;31;35;72;False
2022-01-27;19;0;25;24;65;False
2022-01-28;14;0;23;64;65;False
2022-01-29;15;6;33;55;59;False
2022-01-30;0;0;31;22;81;False
2022-01-31;6;15;18;20;90;False
