date;Android;Software;Bars, pubs and clubs;Walking holidays;air travel;isPartial
2022-01-01;78;49;0;2;2;False
2022-01-02;75;54;0;2;4;False
2022-01-03;74;63;0;2;3;False
2022-01-04;81;75;0;0;3;False
2022-01-05;76;76;0;1;5;False
2022-01-06;78;79;0;1;4;False
2022-01-07;90;76;0;1;4;False
2022-01-08;99;55;0;1;4;False
2022-01-09;100;57;0;1;2;False
2022-01-10;84;83;0;0;6;False
2022-01-11;79;84;0;1;4;False
2022-01-12;77;81;0;1;4;False
2022-01-13;79;83;0;2;5;False
2022-01-14;78;68;0;1;4;False
2022-01-15;87;57;0;1;4;False
2022-01-16;93;65;0;2;5;False
2022-01-17;70;76;0;0;3;False
2022-01-18;65;76;0;1;4;False
2022-01-19;64;71;0;0;4;False
2022-01-20;68;68;0;1;3;False
2022-01-21;74;70;0;2;2;False
2022-01-22;83;57;0;1;3;False
2022-01-23;86;60;0;2;4;False
2022-01-24;88;92;0;0;5;False
2022-01-25;80;78;0;1;3;False
2022-01-26;70;79;0;1;4;False
2022-01-27;73;74;0;0;3;False
2022-01-28;73;75;0;2;3;False
2022-01-29;84;53;0;1;3;False
2022-01-30;82;58;0;3;4;False
2022-01-31;72;74;0;1;5;False
