date;Ethical and green living;Travel and transport;Microsoft;Microsoft Surface;air travel;isPartial
2022-01-01;0;0;31;2;1;False
2022-01-02;0;0;34;1;2;False
2022-01-03;0;0;42;2;1;False
2022-01-04;0;0;63;2;1;False
2022-01-05;0;0;63;3;2;False
2022-01-06;0;0;57;2;2;False
2022-01-07;0;0;51;1;2;False
2022-01-08;0;0;33;2;2;False
2022-01-09;0;0;37;1;1;False
2022-01-10;0;0;63;2;3;False
2022-01-11;0;0;59;2;2;False
2022-01-12;0;0;60;2;2;False
2022-01-13;0;0;64;2;2;False
2022-01-14;0;0;52;1;2;False
2022-01-15;0;0;34;2;2;False
2022-01-16;0;0;40;2;2;False
2022-01-17;0;0;58;2;1;False
2022-01-18;0;0;100;2;2;False
2022-01-19;0;0;67;2;2;False
2022-01-20;0;0;58;2;1;False
2022-01-21;0;0;56;2;1;False
2022-01-22;0;0;36;2;1;False
2022-01-23;0;0;38;2;2;False
2022-01-24;0;0;68;2;2;False
2022-01-25;0;0;61;2;1;False
2022-01-26;0;0;62;2;2;False
2022-01-27;0;0;54;1;1;False
2022-01-28;0;0;55;2;1;False
2022-01-29;0;0;33;1;2;False
2022-01-30;0;0;39;1;2;False
2022-01-31;0;0;61;2;2;False
