date;Monica Ali;Kenneth Branagh;Belfast;Digital media;air travel;isPartial
2022-01-01;0;1;54;0;1;False
2022-01-02;0;1;58;0;1;False
2022-01-03;0;1;60;0;1;False
2022-01-04;0;0;66;1;2;False
2022-01-05;0;1;61;1;2;False
2022-01-06;0;1;61;1;2;False
2022-01-07;0;1;61;1;2;False
2022-01-08;0;1;56;0;1;False
2022-01-09;0;1;56;0;1;False
2022-01-10;0;1;62;1;2;False
2022-01-11;0;1;59;1;2;False
2022-01-12;0;0;55;1;2;False
2022-01-13;0;1;61;1;2;False
2022-01-14;0;1;59;1;2;False
2022-01-15;0;1;60;1;2;False
2022-01-16;0;1;62;0;2;False
2022-01-17;0;1;59;1;1;False
2022-01-18;0;1;57;1;1;False
2022-01-19;0;3;61;1;2;False
2022-01-20;0;4;72;1;1;False
2022-01-21;0;11;85;1;1;False
2022-01-22;0;10;100;0;1;False
2022-01-23;0;6;90;1;2;False
2022-01-24;0;3;75;1;2;False
2022-01-25;0;2;68;1;1;False
2022-01-26;0;1;68;0;2;False
2022-01-27;0;2;62;1;1;False
2022-01-28;0;2;68;1;1;False
2022-01-29;0;3;80;0;1;False
2022-01-30;1;3;71;0;2;False
2022-01-31;0;1;66;1;2;False
