date;IRA;Democratic Unionist party (DUP);SDLP;Football League;air travel;isPartial
2022-01-01;8;0;0;69;2;False
2022-01-02;6;0;0;62;5;False
2022-01-03;8;0;1;48;4;False
2022-01-04;7;0;0;43;6;False
2022-01-05;6;0;0;31;6;False
2022-01-06;7;0;0;30;5;False
2022-01-07;8;0;1;38;6;False
2022-01-08;5;0;0;71;5;False
2022-01-09;6;0;0;58;5;False
2022-01-10;6;0;1;33;7;False
2022-01-11;5;0;1;40;5;False
2022-01-12;5;0;0;37;6;False
2022-01-13;4;0;1;37;7;False
2022-01-14;6;0;1;40;6;False
2022-01-15;5;0;0;93;5;False
2022-01-16;6;0;0;82;6;False
2022-01-17;7;0;1;37;3;False
2022-01-18;6;0;0;41;5;False
2022-01-19;6;0;0;45;5;False
2022-01-20;7;0;0;34;3;False
2022-01-21;8;0;1;45;3;False
2022-01-22;6;0;0;97;5;False
2022-01-23;10;0;0;100;5;False
2022-01-24;7;0;0;53;7;False
2022-01-25;7;0;0;41;4;False
2022-01-26;8;0;1;39;5;False
2022-01-27;4;0;0;31;4;False
2022-01-28;7;0;0;37;4;False
2022-01-29;8;0;0;94;4;False
2022-01-30;11;0;0;69;6;False
2022-01-31;7;0;1;36;6;False
