date;Lisa Nandy;Spending review 2021;Eddie Jones;Wales rugby union team;air travel;isPartial
2022-01-01;0;0;0;0;34;False
2022-01-02;8;8;8;0;64;False
2022-01-03;5;0;6;0;61;False
2022-01-04;0;0;12;0;82;False
2022-01-05;9;0;0;7;81;False
2022-01-06;18;0;0;12;72;False
2022-01-07;0;0;5;0;80;False
2022-01-08;5;6;0;6;66;False
2022-01-09;0;0;0;0;65;False
2022-01-10;14;0;7;0;98;False
2022-01-11;9;9;0;0;73;False
2022-01-12;16;7;0;0;78;False
2022-01-13;36;0;0;9;95;False
2022-01-14;8;6;14;14;82;False
2022-01-15;7;0;0;0;71;False
2022-01-16;0;0;0;0;84;False
2022-01-17;0;6;16;0;46;False
2022-01-18;0;0;19;0;68;False
2022-01-19;5;0;8;0;70;False
2022-01-20;9;0;46;0;49;False
2022-01-21;6;0;9;13;44;False
2022-01-22;0;13;0;5;67;False
2022-01-23;10;5;9;5;73;False
2022-01-24;0;0;7;6;100;False
2022-01-25;16;0;0;0;56;False
2022-01-26;0;0;15;0;75;False
2022-01-27;21;0;11;0;62;False
2022-01-28;11;0;10;0;57;False
2022-01-29;8;0;22;17;59;False
2022-01-30;60;0;10;0;88;False
2022-01-31;5;0;8;6;89;False
