date;nasa;european space agency;the universe;james webb space telescope;air travel;isPartial
2022-01-01;11;0;6;2;1;False
2022-01-02;8;0;12;1;3;False
2022-01-03;8;0;6;1;2;False
2022-01-04;8;0;5;2;2;False
2022-01-05;14;0;5;7;4;False
2022-01-06;8;0;4;1;3;False
2022-01-07;8;0;4;2;3;False
2022-01-08;14;0;11;7;3;False
2022-01-09;15;0;9;10;2;False
2022-01-10;6;0;9;1;4;False
2022-01-11;7;1;6;1;3;False
2022-01-12;7;0;8;0;3;False
2022-01-13;7;0;8;2;4;False
2022-01-14;6;0;5;1;3;False
2022-01-15;5;0;7;0;3;False
2022-01-16;6;0;7;1;4;False
2022-01-17;7;1;6;0;2;False
2022-01-18;20;0;4;1;3;False
2022-01-19;12;0;5;0;3;False
2022-01-20;7;1;6;0;2;False
2022-01-21;6;0;6;1;2;False
2022-01-22;8;0;6;0;2;False
2022-01-23;5;0;8;1;3;False
2022-01-24;9;0;7;1;4;False
2022-01-25;10;0;5;4;2;False
2022-01-26;8;0;5;1;3;False
2022-01-27;6;0;4;1;2;False
2022-01-28;6;0;5;0;2;False
2022-01-29;5;0;6;0;3;False
2022-01-30;19;0;5;0;3;False
2022-01-31;100;1;6;0;4;False
