date;Britain's Got Talent;Secondary schools;Kwame Kwei-Armah;Grange Park Opera;air travel;isPartial
2022-01-01;3;32;0;3;15;False
2022-01-02;2;100;6;0;29;False
2022-01-03;0;39;2;0;28;False
2022-01-04;7;40;0;4;37;False
2022-01-05;0;43;4;0;36;False
2022-01-06;0;28;0;0;32;False
2022-01-07;2;43;0;2;36;False
2022-01-08;0;22;0;0;30;False
2022-01-09;0;35;0;0;29;False
2022-01-10;3;38;0;0;44;False
2022-01-11;6;42;0;2;33;False
2022-01-12;0;51;0;0;35;False
2022-01-13;5;48;2;0;42;False
2022-01-14;0;41;0;3;37;False
2022-01-15;14;27;0;0;32;False
2022-01-16;9;46;0;0;38;False
2022-01-17;8;29;0;2;21;False
2022-01-18;13;39;0;0;30;False
2022-01-19;10;34;0;4;31;False
2022-01-20;8;32;0;0;22;False
2022-01-21;5;40;0;0;20;False
2022-01-22;0;79;0;4;30;False
2022-01-23;7;48;0;3;33;False
2022-01-24;5;56;0;0;45;False
2022-01-25;3;29;0;0;25;False
2022-01-26;0;44;0;0;34;False
2022-01-27;0;32;0;6;28;False
2022-01-28;5;31;0;0;25;False
2022-01-29;15;37;0;0;27;False
2022-01-30;4;32;0;0;39;False
2022-01-31;6;32;4;0;40;False
