date;Tessa Hadley;Crystal Palace;Carlisle;Kerry Godliman;air travel;isPartial
2022-01-01;0;75;31;0;1;False
2022-01-02;0;21;27;1;3;False
2022-01-03;0;14;29;1;3;False
2022-01-04;0;13;36;0;3;False
2022-01-05;0;12;27;0;3;False
2022-01-06;0;11;27;0;3;False
2022-01-07;0;16;31;0;3;False
2022-01-08;0;63;30;0;3;False
2022-01-09;1;21;25;0;3;False
2022-01-10;0;15;32;1;4;False
2022-01-11;0;12;29;1;3;False
2022-01-12;1;14;26;0;3;False
2022-01-13;0;16;28;0;4;False
2022-01-14;0;55;27;1;3;False
2022-01-15;1;27;32;1;3;False
2022-01-16;0;17;29;2;3;False
2022-01-17;0;14;27;0;2;False
2022-01-18;0;11;27;1;3;False
2022-01-19;0;11;26;1;3;False
2022-01-20;0;13;25;1;2;False
2022-01-21;0;16;35;1;2;False
2022-01-22;0;20;33;1;3;False
2022-01-23;0;100;26;1;3;False
2022-01-24;0;18;33;2;4;False
2022-01-25;0;11;27;1;2;False
2022-01-26;0;13;26;0;3;False
2022-01-27;0;13;25;1;3;False
2022-01-28;0;14;27;1;2;False
2022-01-29;0;17;33;1;2;False
2022-01-30;0;16;28;2;4;False
2022-01-31;0;18;30;1;4;False
