date;Victoria;Aged care;Greg Hunt;New South Wales;air travel;isPartial
2022-01-01;86;0;0;1;1;False
2022-01-02;86;0;0;1;3;False
2022-01-03;85;0;0;1;2;False
2022-01-04;88;0;0;1;2;False
2022-01-05;88;0;0;2;4;False
2022-01-06;80;0;0;1;3;False
2022-01-07;81;0;0;1;3;False
2022-01-08;85;0;0;1;3;False
2022-01-09;88;0;0;1;2;False
2022-01-10;92;0;0;1;4;False
2022-01-11;86;1;1;1;3;False
2022-01-12;83;0;0;1;3;False
2022-01-13;86;0;0;0;4;False
2022-01-14;78;0;0;0;3;False
2022-01-15;92;1;0;1;3;False
2022-01-16;100;0;0;1;4;False
2022-01-17;80;0;0;1;2;False
2022-01-18;92;0;0;1;3;False
2022-01-19;79;0;0;1;3;False
2022-01-20;74;0;0;1;2;False
2022-01-21;85;0;0;0;2;False
2022-01-22;96;0;0;0;2;False
2022-01-23;86;0;0;1;3;False
2022-01-24;93;0;0;1;4;False
2022-01-25;76;0;0;1;2;False
2022-01-26;79;0;0;1;3;False
2022-01-27;79;1;0;1;2;False
2022-01-28;87;0;0;1;2;False
2022-01-29;90;0;0;1;3;False
2022-01-30;88;0;0;1;3;False
2022-01-31;84;0;0;1;4;False
