date;Yemen;Saudi Arabia;Freedom of information ;Sydney;air travel;isPartial
2022-01-01;3;12;2;54;3;False
2022-01-02;6;11;2;45;7;False
2022-01-03;6;15;2;40;5;False
2022-01-04;6;14;3;55;5;False
2022-01-05;4;15;3;56;8;False
2022-01-06;4;17;4;57;6;False
2022-01-07;6;16;3;95;7;False
2022-01-08;5;10;2;78;7;False
2022-01-09;6;14;2;64;5;False
2022-01-10;8;15;4;56;9;False
2022-01-11;5;13;5;66;7;False
2022-01-12;4;21;2;74;8;False
2022-01-13;4;14;4;66;9;False
2022-01-14;3;15;2;94;8;False
2022-01-15;4;12;2;100;8;False
2022-01-16;5;12;2;56;8;False
2022-01-17;6;13;5;47;6;False
2022-01-18;6;14;5;57;7;False
2022-01-19;5;16;3;47;7;False
2022-01-20;6;13;5;44;4;False
2022-01-21;11;18;4;41;4;False
2022-01-22;14;13;2;49;6;False
2022-01-23;9;18;3;48;7;False
2022-01-24;14;18;5;51;8;False
2022-01-25;9;15;4;41;5;False
2022-01-26;5;14;4;43;7;False
2022-01-27;5;18;5;47;6;False
2022-01-28;4;13;4;47;5;False
2022-01-29;4;13;1;42;4;False
2022-01-30;4;15;1;49;7;False
2022-01-31;5;15;3;47;8;False
