date;Spirits;Whisky;Gender;Jeanette Winterson;air travel;isPartial
2022-01-01;19;70;69;2;5;False
2022-01-02;15;55;69;0;9;False
2022-01-03;19;55;75;1;9;False
2022-01-04;24;60;77;0;11;False
2022-01-05;18;51;75;0;11;False
2022-01-06;12;56;66;0;10;False
2022-01-07;19;65;73;1;11;False
2022-01-08;18;67;71;0;9;False
2022-01-09;14;52;69;2;9;False
2022-01-10;14;46;74;0;14;False
2022-01-11;18;45;85;0;10;False
2022-01-12;15;49;73;0;11;False
2022-01-13;17;60;85;0;13;False
2022-01-14;18;55;73;1;11;False
2022-01-15;20;71;67;1;10;False
2022-01-16;22;63;82;0;12;False
2022-01-17;19;45;76;1;6;False
2022-01-18;19;47;71;1;9;False
2022-01-19;13;45;67;0;10;False
2022-01-20;20;58;69;0;7;False
2022-01-21;22;66;66;0;6;False
2022-01-22;18;78;62;0;9;False
2022-01-23;14;69;70;0;10;False
2022-01-24;22;67;78;1;14;False
2022-01-25;19;100;77;2;8;False
2022-01-26;17;65;70;2;10;False
2022-01-27;14;51;75;1;9;False
2022-01-28;17;68;64;0;8;False
2022-01-29;21;63;62;0;8;False
2022-01-30;20;55;63;0;12;False
2022-01-31;17;49;71;0;12;False
