date;Booksellers;Late-night TV roundup;Stephen Colbert;Trevor Noah;air travel;isPartial
2022-01-01;0;0;7;7;23;False
2022-01-02;0;0;0;19;71;False
2022-01-03;0;0;7;0;64;False
2022-01-04;0;0;0;0;75;False
2022-01-05;0;0;8;0;78;False
2022-01-06;6;0;0;6;63;False
2022-01-07;0;0;0;0;71;False
2022-01-08;7;0;8;8;74;False
2022-01-09;0;0;0;24;61;False
2022-01-10;0;0;0;0;100;False
2022-01-11;0;0;0;8;75;False
2022-01-12;0;0;17;15;82;False
2022-01-13;13;0;18;33;93;False
2022-01-14;0;0;8;0;88;False
2022-01-15;0;0;7;16;72;False
2022-01-16;0;0;7;10;80;False
2022-01-17;0;0;0;20;63;False
2022-01-18;0;0;4;26;70;False
2022-01-19;0;0;0;21;82;False
2022-01-20;0;0;6;29;58;False
2022-01-21;13;0;12;12;51;False
2022-01-22;8;0;6;11;49;False
2022-01-23;14;0;13;19;87;False
2022-01-24;12;0;8;14;94;False
2022-01-25;0;0;13;4;53;False
2022-01-26;0;0;0;0;72;False
2022-01-27;0;0;5;10;65;False
2022-01-28;16;0;15;14;65;False
2022-01-29;0;0;8;14;59;False
2022-01-30;9;0;0;14;81;False
2022-01-31;10;0;10;13;90;False
