date;Vietnam;Marise Payne;Wildlife holidays;Queensland holidays;air travel;isPartial
2022-01-01;81;0;0;0;7;False
2022-01-02;81;0;3;0;21;False
2022-01-03;77;0;2;0;19;False
2022-01-04;63;0;0;0;22;False
2022-01-05;61;0;0;3;23;False
2022-01-06;61;0;2;0;19;False
2022-01-07;74;0;0;0;21;False
2022-01-08;75;0;4;0;22;False
2022-01-09;77;0;2;1;18;False
2022-01-10;72;0;0;0;29;False
2022-01-11;79;0;4;0;22;False
2022-01-12;61;0;0;0;24;False
2022-01-13;77;0;0;2;27;False
2022-01-14;59;0;0;0;26;False
2022-01-15;74;0;0;2;21;False
2022-01-16;81;0;0;0;24;False
2022-01-17;58;0;0;0;18;False
2022-01-18;59;0;0;0;21;False
2022-01-19;60;2;0;0;24;False
2022-01-20;53;0;4;5;17;False
2022-01-21;61;0;0;0;15;False
2022-01-22;74;0;0;0;14;False
2022-01-23;78;0;1;0;26;False
2022-01-24;100;0;2;2;28;False
2022-01-25;81;0;0;0;16;False
2022-01-26;70;0;0;3;21;False
2022-01-27;86;0;2;0;19;False
2022-01-28;74;2;0;0;19;False
2022-01-29;74;0;2;2;18;False
2022-01-30;81;0;2;0;24;False
2022-01-31;69;0;0;0;26;False
