date;Homes;Hunger;Ethiopia;Humanitarian response;air travel;isPartial
2022-01-01;70;17;4;0;1;False
2022-01-02;80;16;3;0;3;False
2022-01-03;85;13;4;0;2;False
2022-01-04;88;15;2;0;3;False
2022-01-05;96;13;3;0;3;False
2022-01-06;87;11;4;0;2;False
2022-01-07;85;12;4;0;3;False
2022-01-08;83;14;4;0;3;False
2022-01-09;85;13;8;0;2;False
2022-01-10;93;10;3;0;4;False
2022-01-11;96;11;3;0;3;False
2022-01-12;90;10;3;0;3;False
2022-01-13;98;8;7;0;3;False
2022-01-14;83;9;3;0;3;False
2022-01-15;83;13;3;0;3;False
2022-01-16;90;13;3;0;3;False
2022-01-17;91;9;4;0;2;False
2022-01-18;83;8;3;0;2;False
2022-01-19;86;7;3;0;3;False
2022-01-20;88;7;2;0;2;False
2022-01-21;85;7;2;0;2;False
2022-01-22;78;11;3;0;2;False
2022-01-23;78;11;4;0;3;False
2022-01-24;100;9;4;0;3;False
2022-01-25;85;7;3;0;2;False
2022-01-26;92;7;2;0;3;False
2022-01-27;91;8;3;0;2;False
2022-01-28;86;9;2;0;2;False
2022-01-29;81;11;1;0;2;False
2022-01-30;82;10;2;0;3;False
2022-01-31;91;7;2;0;3;False
