date;Daniel Andrews;Westerns;Ron DeSantis;Mel Giedroyc;air travel;isPartial
2022-01-01;6;15;7;22;40;False
2022-01-02;0;14;0;19;70;False
2022-01-03;13;19;0;0;62;False
2022-01-04;10;15;0;0;64;False
2022-01-05;0;12;0;11;73;False
2022-01-06;0;28;12;0;62;False
2022-01-07;12;7;9;6;63;False
2022-01-08;0;33;0;0;72;False
2022-01-09;0;11;7;8;64;False
2022-01-10;0;6;0;16;100;False
2022-01-11;0;19;6;14;71;False
2022-01-12;0;0;0;10;81;False
2022-01-13;0;0;0;11;93;False
2022-01-14;0;0;0;6;92;False
2022-01-15;8;13;0;6;88;False
2022-01-16;0;16;0;18;81;False
2022-01-17;11;5;7;0;61;False
2022-01-18;5;11;0;14;74;False
2022-01-19;0;0;7;5;96;False
2022-01-20;0;16;0;0;55;False
2022-01-21;0;0;5;12;43;False
2022-01-22;11;11;0;8;57;False
2022-01-23;0;0;0;10;78;False
2022-01-24;6;14;6;4;95;False
2022-01-25;19;4;7;6;50;False
2022-01-26;0;12;0;0;62;False
2022-01-27;0;0;8;9;67;False
2022-01-28;0;15;5;14;57;False
2022-01-29;6;8;0;5;74;False
2022-01-30;20;17;6;17;69;False
2022-01-31;0;14;0;14;88;False
