date;Chocolate;History books;British Museum;Car insurance;air travel;isPartial
2022-01-01;84;1;4;31;1;False
2022-01-02;86;1;5;37;3;False
2022-01-03;82;1;6;50;2;False
2022-01-04;77;1;5;63;2;False
2022-01-05;75;2;4;61;3;False
2022-01-06;75;1;4;53;2;False
2022-01-07;76;1;4;51;3;False
2022-01-08;97;1;7;51;3;False
2022-01-09;93;1;4;47;2;False
2022-01-10;78;1;4;56;3;False
2022-01-11;75;1;8;56;3;False
2022-01-12;81;1;4;53;3;False
2022-01-13;79;1;6;52;3;False
2022-01-14;85;1;4;54;3;False
2022-01-15;95;1;6;58;3;False
2022-01-16;99;1;7;46;3;False
2022-01-17;73;1;5;57;2;False
2022-01-18;68;1;4;52;3;False
2022-01-19;69;1;4;53;3;False
2022-01-20;76;1;4;49;2;False
2022-01-21;76;1;6;50;1;False
2022-01-22;95;2;7;46;2;False
2022-01-23;93;1;7;42;3;False
2022-01-24;84;1;6;59;3;False
2022-01-25;72;1;4;51;2;False
2022-01-26;75;1;5;53;3;False
2022-01-27;79;1;5;52;2;False
2022-01-28;81;1;6;54;2;False
2022-01-29;100;2;8;53;2;False
2022-01-30;94;1;7;46;3;False
2022-01-31;80;1;6;62;3;False
