date;Shipping emissions;Carbon footprints;Luxury goods sector;Luxury travel;air travel;isPartial
2022-01-01;0;0;0;32;34;False
2022-01-02;0;5;0;11;64;False
2022-01-03;11;0;0;52;61;False
2022-01-04;0;0;0;15;82;False
2022-01-05;6;0;0;11;81;False
2022-01-06;7;0;0;29;72;False
2022-01-07;0;0;0;11;80;False
2022-01-08;4;0;0;20;66;False
2022-01-09;0;0;0;35;65;False
2022-01-10;0;5;0;16;98;False
2022-01-11;7;0;0;24;73;False
2022-01-12;0;0;0;14;78;False
2022-01-13;0;0;0;29;95;False
2022-01-14;0;0;0;10;82;False
2022-01-15;0;0;0;15;71;False
2022-01-16;13;0;0;31;84;False
2022-01-17;6;0;0;9;46;False
2022-01-18;0;0;0;12;68;False
2022-01-19;0;9;0;19;70;False
2022-01-20;5;0;0;31;49;False
2022-01-21;9;0;0;21;44;False
2022-01-22;0;0;0;27;67;False
2022-01-23;0;0;0;16;73;False
2022-01-24;0;0;0;32;100;False
2022-01-25;0;0;0;20;56;False
2022-01-26;0;0;0;11;75;False
2022-01-27;9;0;0;22;62;False
2022-01-28;0;0;0;15;57;False
2022-01-29;5;21;0;7;59;False
2022-01-30;0;0;0;13;88;False
2022-01-31;0;0;0;20;89;False
