date;edgware;coffee;coffee production;the comb podcasts;air travel;isPartial
2022-01-01;6;91;0;0;1;False
2022-01-02;5;94;0;0;2;False
2022-01-03;6;92;0;0;2;False
2022-01-04;5;86;0;0;1;False
2022-01-05;5;78;0;0;2;False
2022-01-06;4;76;0;0;2;False
2022-01-07;5;76;0;0;2;False
2022-01-08;5;97;0;0;2;False
2022-01-09;5;100;0;0;1;False
2022-01-10;5;82;0;0;3;False
2022-01-11;4;79;1;0;2;False
2022-01-12;4;80;0;0;2;False
2022-01-13;5;80;0;0;2;False
2022-01-14;5;74;0;0;2;False
2022-01-15;5;93;0;0;2;False
2022-01-16;5;98;0;0;3;False
2022-01-17;4;72;0;0;2;False
2022-01-18;4;70;0;0;2;False
2022-01-19;4;71;0;0;2;False
2022-01-20;4;67;0;0;1;False
2022-01-21;4;75;0;0;1;False
2022-01-22;6;90;0;0;2;False
2022-01-23;5;100;0;0;2;False
2022-01-24;5;86;0;0;3;False
2022-01-25;5;74;0;0;2;False
2022-01-26;4;70;0;0;2;False
2022-01-27;4;69;0;0;2;False
2022-01-28;4;74;0;0;1;False
2022-01-29;5;86;0;0;2;False
2022-01-30;5;87;0;0;2;False
2022-01-31;4;75;0;0;3;False
