date;Willem Dafoe;Katy Perry;House of Lords;Shami Chakrabarti;air travel;isPartial
2022-01-01;50;80;20;0;16;False
2022-01-02;55;59;14;10;30;False
2022-01-03;36;36;12;0;29;False
2022-01-04;46;58;17;0;39;False
2022-01-05;34;36;30;0;38;False
2022-01-06;30;32;18;0;34;False
2022-01-07;54;38;18;0;38;False
2022-01-08;42;39;15;0;31;False
2022-01-09;35;55;17;3;30;False
2022-01-10;27;22;29;0;46;False
2022-01-11;30;48;34;0;34;False
2022-01-12;30;54;25;0;37;False
2022-01-13;23;59;24;0;44;False
2022-01-14;26;100;24;0;39;False
2022-01-15;25;84;8;0;34;False
2022-01-16;30;56;20;4;39;False
2022-01-17;35;54;40;0;22;False
2022-01-18;28;45;41;0;32;False
2022-01-19;22;33;22;2;33;False
2022-01-20;27;34;20;0;23;False
2022-01-21;28;69;15;5;21;False
2022-01-22;18;71;11;0;32;False
2022-01-23;28;43;16;0;34;False
2022-01-24;21;49;43;7;47;False
2022-01-25;15;26;19;0;26;False
2022-01-26;18;46;22;0;35;False
2022-01-27;13;37;25;0;29;False
2022-01-28;22;42;17;0;27;False
2022-01-29;36;73;9;3;28;False
2022-01-30;37;52;7;0;41;False
2022-01-31;33;44;26;4;42;False
