date;Education;Birmingham Six;Birmingham pub bombings;Northern Ireland;air travel;isPartial
2022-01-01;43;0;0;61;2;False
2022-01-02;53;0;0;68;4;False
2022-01-03;58;0;0;71;3;False
2022-01-04;82;1;0;83;3;False
2022-01-05;82;0;2;77;5;False
2022-01-06;75;1;0;71;4;False
2022-01-07;74;0;0;70;4;False
2022-01-08;47;0;0;54;4;False
2022-01-09;66;1;0;59;2;False
2022-01-10;100;0;0;77;6;False
2022-01-11;94;0;0;67;4;False
2022-01-12;94;0;0;67;4;False
2022-01-13;93;1;0;68;5;False
2022-01-14;70;0;0;57;4;False
2022-01-15;51;0;0;52;4;False
2022-01-16;63;0;1;60;5;False
2022-01-17;85;0;0;67;3;False
2022-01-18;83;0;0;65;4;False
2022-01-19;78;0;0;59;4;False
2022-01-20;78;0;0;65;3;False
2022-01-21;76;0;0;64;2;False
2022-01-22;55;0;0;54;3;False
2022-01-23;58;0;0;65;4;False
2022-01-24;98;0;0;73;5;False
2022-01-25;89;0;0;67;3;False
2022-01-26;86;0;0;64;4;False
2022-01-27;78;0;0;61;3;False
2022-01-28;72;0;0;62;3;False
2022-01-29;45;1;0;65;3;False
2022-01-30;56;0;0;66;4;False
2022-01-31;81;1;0;66;5;False
