date;Fintech;Financial Conduct Authority;Society books;A-League Men;air travel;isPartial
2022-01-01;27;7;19;0;34;False
2022-01-02;32;0;7;0;64;False
2022-01-03;52;0;8;0;61;False
2022-01-04;46;18;8;0;82;False
2022-01-05;41;6;12;0;81;False
2022-01-06;60;16;11;0;72;False
2022-01-07;54;19;8;0;80;False
2022-01-08;29;6;5;0;66;False
2022-01-09;23;12;9;0;65;False
2022-01-10;80;12;5;0;98;False
2022-01-11;77;5;7;0;73;False
2022-01-12;66;10;0;0;78;False
2022-01-13;87;10;0;0;95;False
2022-01-14;54;6;6;0;82;False
2022-01-15;54;12;0;0;71;False
2022-01-16;35;15;0;0;84;False
2022-01-17;48;14;5;0;46;False
2022-01-18;70;19;7;0;68;False
2022-01-19;39;0;0;0;70;False
2022-01-20;69;8;0;0;49;False
2022-01-21;51;10;7;0;44;False
2022-01-22;30;11;7;0;67;False
2022-01-23;30;0;7;0;73;False
2022-01-24;93;11;0;0;100;False
2022-01-25;71;11;0;0;56;False
2022-01-26;69;17;0;0;75;False
2022-01-27;76;23;9;0;62;False
2022-01-28;53;15;14;0;57;False
2022-01-29;43;0;0;0;59;False
2022-01-30;32;9;0;0;88;False
2022-01-31;52;5;9;0;89;False
