date;Bloody Sunday;Good Friday agreement;Workers' rights;Nepal;air travel;isPartial
2022-01-01;2;0;2;16;2;False
2022-01-02;0;2;0;17;7;False
2022-01-03;2;1;0;15;7;False
2022-01-04;1;0;0;14;8;False
2022-01-05;1;1;0;15;8;False
2022-01-06;3;1;0;14;6;False
2022-01-07;2;0;0;17;7;False
2022-01-08;0;0;0;17;8;False
2022-01-09;1;0;0;14;6;False
2022-01-10;1;1;0;16;10;False
2022-01-11;2;0;1;14;8;False
2022-01-12;1;1;2;10;8;False
2022-01-13;1;1;1;15;9;False
2022-01-14;1;1;1;11;9;False
2022-01-15;1;0;0;15;7;False
2022-01-16;2;1;2;19;8;False
2022-01-17;0;0;1;16;6;False
2022-01-18;1;0;1;12;7;False
2022-01-19;3;1;1;13;8;False
2022-01-20;4;0;1;12;6;False
2022-01-21;3;0;1;14;5;False
2022-01-22;5;0;1;14;5;False
2022-01-23;9;0;0;14;9;False
2022-01-24;5;0;1;18;10;False
2022-01-25;4;1;1;14;5;False
2022-01-26;11;2;0;12;7;False
2022-01-27;4;0;0;15;7;False
2022-01-28;13;1;1;14;7;False
2022-01-29;29;3;1;15;6;False
2022-01-30;100;1;2;14;8;False
2022-01-31;19;0;1;15;9;False
