date;Drugs policy;Interiors;Brighton;Opera;air travel;isPartial
2022-01-01;0;5;58;15;1;False
2022-01-02;0;6;84;14;2;False
2022-01-03;0;6;61;12;2;False
2022-01-04;0;7;57;11;2;False
2022-01-05;0;7;56;10;2;False
2022-01-06;0;7;51;11;2;False
2022-01-07;0;7;57;11;2;False
2022-01-08;0;5;68;14;2;False
2022-01-09;0;7;58;12;2;False
2022-01-10;0;7;54;13;3;False
2022-01-11;0;8;60;14;2;False
2022-01-12;0;7;55;11;2;False
2022-01-13;0;7;59;11;2;False
2022-01-14;0;6;96;13;2;False
2022-01-15;0;6;72;17;2;False
2022-01-16;1;7;64;15;2;False
2022-01-17;0;8;55;12;2;False
2022-01-18;0;6;100;10;2;False
2022-01-19;0;6;55;11;2;False
2022-01-20;0;7;49;11;2;False
2022-01-21;0;7;55;12;1;False
2022-01-22;0;7;60;15;1;False
2022-01-23;0;5;78;14;2;False
2022-01-24;0;8;65;14;2;False
2022-01-25;0;7;52;12;1;False
2022-01-26;0;8;57;11;2;False
2022-01-27;0;7;56;12;2;False
2022-01-28;0;6;60;13;2;False
2022-01-29;0;7;64;22;2;False
2022-01-30;0;6;60;15;2;False
2022-01-31;0;7;59;12;2;False
