date;Los Angeles Rams;Indianapolis Colts;School funding;Social exclusion;air travel;isPartial
2022-01-01;0;0;19;0;34;False
2022-01-02;0;11;7;0;64;False
2022-01-03;6;0;8;12;61;False
2022-01-04;0;0;14;12;82;False
2022-01-05;31;7;27;9;81;False
2022-01-06;0;10;16;0;72;False
2022-01-07;0;0;5;8;80;False
2022-01-08;8;0;15;0;66;False
2022-01-09;0;22;0;0;65;False
2022-01-10;10;21;13;4;98;False
2022-01-11;0;0;14;19;73;False
2022-01-12;0;0;14;0;78;False
2022-01-13;0;0;0;0;95;False
2022-01-14;18;0;10;6;82;False
2022-01-15;0;0;0;0;71;False
2022-01-16;0;0;6;0;84;False
2022-01-17;6;16;8;12;46;False
2022-01-18;8;15;18;0;68;False
2022-01-19;0;4;22;10;70;False
2022-01-20;13;0;14;0;49;False
2022-01-21;0;10;0;13;44;False
2022-01-22;0;0;27;9;67;False
2022-01-23;8;0;13;19;73;False
2022-01-24;0;0;19;0;100;False
2022-01-25;5;0;19;5;56;False
2022-01-26;18;0;15;0;75;False
2022-01-27;5;0;9;0;62;False
2022-01-28;0;0;10;5;57;False
2022-01-29;0;0;6;0;59;False
2022-01-30;9;16;0;7;88;False
2022-01-31;24;22;17;7;89;False
